DialogueID;VoiceID;Page;Clip_L1;
DID_Lusha_Session1_1reco_emotion2_end;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/16c5550d-b8d0-9271-acad-a0fffab9a4dd.mp3;
DID_Lusha_Session1_1reco_emotion3;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/70f7e361-29b8-f8b4-9164-37a9a5b2f3fa.mp3;
DID_Lusha_Session1_1reco_emotion3;EXAVITQu4vr4xnSDxMaL;2;ElevenLabs/TextToSpeech/Bella/da77b1a3-0b3e-0538-527b-67be647de4d2.mp3;
DID_Lusha_Session1_1reco_emotion3_end;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/16c5550d-b8d0-9271-acad-a0fffab9a4dd.mp3;
DID_Lusha_Session1_1reco_emotion4;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/e977945a-f635-ad2c-7656-2f6edd78b3e5.mp3;
DID_Lusha_Session1_1reco_emotion4;EXAVITQu4vr4xnSDxMaL;2;ElevenLabs/TextToSpeech/Bella/d72de93e-62ff-2ccb-f36e-b2fbf2baeba2.mp3;
DID_Lusha_Session1_1reco_emotion4;EXAVITQu4vr4xnSDxMaL;3;ElevenLabs/TextToSpeech/Bella/ed98c89e-fa70-01db-7615-9ddc803a0453.mp3;
DID_Lusha_Session1_1reco_emotion4;EXAVITQu4vr4xnSDxMaL;4;ElevenLabs/TextToSpeech/Bella/522c1655-da88-8ef5-5b63-4fe4d6d4ff80.mp3;
DID_Lusha_Session1_1reco_emotion4_end;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/16c5550d-b8d0-9271-acad-a0fffab9a4dd.mp3;
DID_Lusha_Session1_1reco_emotion5;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/a57ab8fe-c0ae-fe61-5687-cbaf0bd1b815.mp3;
DID_Lusha_Session1_1reco_emotion5;EXAVITQu4vr4xnSDxMaL;2;ElevenLabs/TextToSpeech/Bella/bd4bde3e-e94b-66a0-b93f-b6db69fd40f0.mp3;
DID_Lusha_Session1_1reco_emotion5;EXAVITQu4vr4xnSDxMaL;3;ElevenLabs/TextToSpeech/Bella/a5cd1439-1f56-a70a-1339-3e418524fd27.mp3;
DID_Lusha_Session1_1reco_emotion5;EXAVITQu4vr4xnSDxMaL;4;ElevenLabs/TextToSpeech/Bella/2b6983c6-7a05-63ad-2910-bde0e8dc9ca2.mp3;
DID_Lusha_Session1_1reco_emotion5_end;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/16c5550d-b8d0-9271-acad-a0fffab9a4dd.mp3;
DID_Lusha_Session1_1reco_emotion6;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/17f84c52-7b58-7880-c8e3-af09a9526a99.mp3;
DID_Lusha_Session1_1reco_emotion6;EXAVITQu4vr4xnSDxMaL;2;ElevenLabs/TextToSpeech/Bella/700c33c8-4c34-6fa1-9a5d-21ee5e83ea94.mp3;
DID_Lusha_Session1_1reco_emotion6;EXAVITQu4vr4xnSDxMaL;3;ElevenLabs/TextToSpeech/Bella/f3bbd1c7-cd32-642a-255f-0eca3cc9468a.mp3;
DID_Lusha_Session1_1reco_emotion6;EXAVITQu4vr4xnSDxMaL;4;ElevenLabs/TextToSpeech/Bella/25cdca22-29e1-ed66-9791-0a45d8bc6729.mp3;
DID_Lusha_Session1_1reco_emotion7;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/22d3aae3-992c-9545-077f-885bfb294883.mp3;
DID_Lusha_Session1_1reco_emotion7;EXAVITQu4vr4xnSDxMaL;2;ElevenLabs/TextToSpeech/Bella/d9e60260-9ffe-8e9a-6d75-f7a7fb665bb4.mp3;
DID_Lusha_Session1_1reco_emotion7;EXAVITQu4vr4xnSDxMaL;3;ElevenLabs/TextToSpeech/Bella/f28379b2-f722-4d99-2ca1-aca93192ce5f.mp3;
DID_Lusha_Session1_1reco_emotion7;EXAVITQu4vr4xnSDxMaL;4;ElevenLabs/TextToSpeech/Bella/a48605e0-c079-0dcd-447a-4a38f562e191.mp3;
DID_Lusha_Session1_1reco_emotion7;EXAVITQu4vr4xnSDxMaL;5;ElevenLabs/TextToSpeech/Bella/3bf28629-3747-f0b4-50f4-98ab19a2442d.mp3;
DID_Lusha_Session1_1reco_emotion7;EXAVITQu4vr4xnSDxMaL;6;ElevenLabs/TextToSpeech/Bella/c8ec0b07-f736-5d6b-771a-77e5a827eec4.mp3;
DID_Lusha_Session1_1reco_emotion7_end;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/16c5550d-b8d0-9271-acad-a0fffab9a4dd.mp3;
DID_Lusha_Session1_1reco_emotion8;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/03f9b3a8-beea-77c1-dc3d-61855f5d90ee.mp3;
DID_Lusha_Session1_1reco_emotion8;EXAVITQu4vr4xnSDxMaL;2;ElevenLabs/TextToSpeech/Bella/3815972d-1b7b-5ef7-8a95-f5127d3cb4ef.mp3;
DID_Lusha_Session1_1reco_emotion8;EXAVITQu4vr4xnSDxMaL;3;ElevenLabs/TextToSpeech/Bella/c29bf1c7-ef9b-0698-ae23-24b67bc09764.mp3;
DID_Lusha_Session1_1reco_emotion8;EXAVITQu4vr4xnSDxMaL;4;ElevenLabs/TextToSpeech/Bella/069165c7-5ff3-45af-f069-a198d1806703.mp3;
DID_Lusha_Session1_1reco_emotion8;EXAVITQu4vr4xnSDxMaL;5;ElevenLabs/TextToSpeech/Bella/fbd814a6-9a43-79d4-390d-34bf531f9526.mp3;
DID_Lusha_Session1_1reco_emotion9;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/22c71fb9-c846-17e1-ea46-8d52cfa7009b.mp3;
DID_Lusha_Session1_1reco_emotion9;EXAVITQu4vr4xnSDxMaL;2;ElevenLabs/TextToSpeech/Bella/a6f573a3-cac3-5dd1-4372-01e1f06afc06.mp3;
DID_Lusha_Session1_1reco_emotion9;EXAVITQu4vr4xnSDxMaL;3;ElevenLabs/TextToSpeech/Bella/6790b6a5-362a-edc1-ff31-a6ab93c51711.mp3;
DID_Lusha_Session1_1reco_emotion9;EXAVITQu4vr4xnSDxMaL;4;ElevenLabs/TextToSpeech/Bella/f21e57b8-1de5-3c74-0cca-074beb963079.mp3;
DID_Lusha_Session1_1reco_emotion9;EXAVITQu4vr4xnSDxMaL;5;ElevenLabs/TextToSpeech/Bella/54aa97a8-b68b-2446-ac99-68079d20564e.mp3;
DID_Lusha_Session1_1reco_emotion10;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/9dc35eb0-a0ab-65bd-bd16-ae62fd4b019a.mp3;
DID_Lusha_Session1_1reco_emotion10;EXAVITQu4vr4xnSDxMaL;2;ElevenLabs/TextToSpeech/Bella/6bffaaba-2ace-7e25-276c-84b35928ac60.mp3;
DID_Lusha_Session1_1reco_emotion10;EXAVITQu4vr4xnSDxMaL;3;ElevenLabs/TextToSpeech/Bella/7ed6c1f8-fb8f-03f0-1120-c6184521c331.mp3;
DID_Lusha_Story1_1reco_emotion1;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/a5fd1ef1-a55e-da82-41b0-e3acf74519e0.mp3;
DID_Lusha_Story1_1reco_emotion1_end;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/c01dc0b6-3887-9404-c168-42cd1168d72c.mp3;
DID_Lusha_Story1_1reco_emotion2;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/6e0fca81-f0bb-c6f4-6867-e7b45bc7bf38.mp3;
